date,A,AMZN,CAT,GDP,MSFT,NFLX,TSLA,XOM
2011-10-27,25.819398764895,206.78,80.395312566477,16.98,23.032986338867,11.55142857142857,28.76,67.557890865885
2011-10-28,27.896821654024,217.32,80.8796719857,16.92,22.804769593491,12.02,29.87,67.227857202641
2011-10-31,25.290662233179,213.51,78.883777137524,15.85,22.508933071708,11.725714285714284,29.37,64.430821906655
2011-11-01,24.076273811947,212.105,76.520437212697,15.0,21.967974860446,11.44142857142857,28.88,62.656890966723
2011-11-02,24.669823208841,215.62,78.449523865118,15.61,21.984879804548,11.912857142857142,28.71,63.836761312817
2011-11-03,25.331596674344,218.29,80.169834905805,15.69,22.424408351198,13.184285714285714,32.46,65.066136708398
2011-11-04,25.181503723405,216.48,79.952708269602,15.5,22.187739133771,12.86,32.31,64.785608094642
2011-11-07,25.747763492856,217.0,79.334732458869,16.41,22.652625096574,12.975714285714284,31.27,65.470427945871
2011-11-08,26.436826585802,217.99,80.077973636642,16.32,22.956914090409,12.924285714285713,31.84,66.196502005006
2011-11-09,24.608421547094,211.22,76.528788237166,15.22,22.145476773517,12.578571428571427,30.88,64.229529716242
2011-11-10,25.147391689101,210.79,76.99644560745,15.66,22.213096549924,12.16,31.33,65.316759124799
2011-11-11,25.556736100752,217.39,80.278398223906,15.45,22.745602289135,12.535714285714285,33.64,66.16330416047
2011-11-14,25.6181377625,218.93,80.612439202681,14.7,22.61881520837,12.245714285714286,33.22,65.532545114284
2011-11-15,26.095706242759,217.83,81.063394524026,15.13,22.770959705288,12.325714285714286,33.93,65.640438109026
2011-11-16,26.320845669168,211.99,79.961059294071,15.37,22.200408358895,11.597142857142858,34.94,64.943283373768
2011-11-17,25.386175929231,204.52,78.340960547016,14.75,21.749076696823,10.922857142857142,33.68,64.619604389541
2011-11-18,25.113279654797,197.14,78.441172840648,14.42,21.54470009513,11.151428571428571,32.6,64.652802234077
2011-11-21,24.41739415499,189.25,76.09453496476,13.93,21.289229343014,10.638571428571428,31.76,63.831155581808
2011-11-22,24.274123610912,192.34,75.150869199723,13.63,21.110399816533,10.064285714285715,32.07,63.100803002014
2011-11-23,22.923287052463,188.99,73.288590743057,12.73,20.837897680942,9.785714285714285,31.45,61.89738113758
2011-11-25,23.080202410263,182.399,72.420084198244,12.15,20.693130921409,9.122571428571428,31.66,61.333017780466
2011-11-28,23.987582522756,194.15,76.395171845657,12.46,21.17852535043,9.992857142857142,32.56,62.943113240467
2011-11-29,23.892068826704,188.39,75.610175545537,12.69,21.152978275219,9.652857142857142,31.75,63.847754504076
2011-11-30,25.584025728196,192.29,81.739827506044,14.58,21.783139463772,9.218571428571428,32.74,66.76086536212
2011-12-01,25.802342747743,197.13,80.854618912292,14.49,21.527668711656,9.595714285714285,32.6,66.221400388408
2011-12-02,25.079167620492,196.03,80.412014615416,15.62,21.476574561232,9.481428571428571,33.3,66.221400388408
2011-12-05,25.283839826318,196.24,80.8796719857,16.41,21.885327764618,10.017142857142858,34.42,66.769164823254
2011-12-06,25.229260571431,191.99,80.136430807927,16.07,21.851264997669,9.734285714285713,34.87,67.076244885213
2011-12-07,25.010943551884,195.32,79.242871189706,15.84,21.800170847246,10.28,34.19,67.292030874698
2011-12-08,23.482724415053,190.48,77.597719369244,14.5,21.629857012502,9.917142857142856,30.89,66.287796077481
2011-12-09,24.103563439391,193.03,80.144781832397,15.36,21.885327764618,10.127142857142857,31.04,67.507816864183
2011-12-12,23.011978341654,189.52,77.864952152263,14.69,21.723529621611,10.751428571428571,30.41,66.437186377893
2011-12-13,22.616278743725,180.51,75.977620622189,14.03,21.936421915041,10.301428571428572,29.45,66.835560512326
2011-12-14,22.466185792786,180.21,72.653912883386,12.84,21.791655155509,10.14857142857143,28.53,65.930919248717
2011-12-15,22.82095094955,181.26,73.23848459624,12.65,21.766108080297,9.959999999999999,28.62,66.420587455625
2011-12-16,22.827773356411,181.26,72.820933372773,12.73,22.140798516734,9.974285714285713,28.0,66.528480450367
2011-12-19,22.670857998612,179.33,72.862688495119,12.17,21.740561005086,9.592857142857143,27.75,66.005614398924
2011-12-20,23.591882924827,182.52,76.60394745739,12.75,22.162087746077,10.200000000000001,27.9,68.055581299029
2011-12-21,23.441789973888,174.35,76.520437212697,12.85,21.936421915041,10.138571428571428,27.57,68.98512094604
2011-12-22,23.769265503209,179.03,76.670755653145,13.15,21.979000373728,10.548571428571428,27.77,69.956157898721
2011-12-23,24.124030659973,177.28,77.038200729797,13.59,22.166345591946,10.374285714285714,27.9,70.728007784186
2011-12-27,24.048984184504,176.27,76.453629016942,13.74,22.174861283683,10.085142857142857,28.57,70.77780455099
2011-12-28,23.271229802367,173.89,74.633105682623,13.14,21.987516065465,9.885714285714286,28.51,69.864863826247
2011-12-29,23.919358454148,173.86,75.643579643415,13.57,22.157829900209,9.899999999999999,28.73,70.769505089856
2011-12-30,23.830667164957,173.1,75.660281692353,13.73,22.106735749786,9.89857142857143,28.56,70.34623257202
2012-01-03,24.888140228389,179.03,78.482927962995,14.6,22.792248934631,10.319999999999999,28.08,71.37536575264
